"Device";"Package";"Value";"Count";"Component Names"
"1-dip-switch";"dil02";"";"20";"S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21"
"1-strap";"strap-sil2";"";"1";"S1"
"1117-regulator";"to220";"LD1117V33";"1";"IC1"
"1n400x";"do41-long";"1N4007";"1";"D34"
"1n4148";"do35";"1N4148";"8";"D35, D36, D37, D38, D39, D40, D41, D42"
"1n540x";"do201";"1N5404";"10";"D11, D12, D13, D14, D15, D16, D17, D18, D19, D20"
"25aa1024-128k-8-eeprom-spi";"dil08";"25AA1024";"2";"IC12, IC13"
"4-dip-switch";"dil08";"";"1";"S22"
"74138";"dil16";"74HC138";"1";"IC4"
"bc547";"to92";"BC547C";"10";"T12, T13, T14, T15, T16, T17, T18, T19, T20, T21"
"bdw94c";"to220";"BDW94C";"10";"T2, T3, T4, T5, T6, T7, T8, T9, T10, T11"
"grid-100mils-1-8";"sil8";"";"1";"K11"
"hole";"hole-1-0mm";"";"19";"P1, P2, P3, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16, P17, P18, P19, P20"
"hole";"hole-1-0mm";"GND";"1";"P4"
"hole";"hole-3mm";"";"9";"H1, H2, H3, H6, H7, H8, H21, H22, H23"
"hole";"hole-4mm";"+24V-POWER";"1";"H5"
"hole";"hole-4mm";"ENTRÉE-ANALOGIQUE-0";"1";"H20"
"hole";"hole-4mm";"ENTRÉE-ANALOGIQUE-1";"1";"H18"
"hole";"hole-4mm";"ENTRÉE-ANALOGIQUE-2";"1";"H16"
"hole";"hole-4mm";"ENTRÉE-ANALOGIQUE-3";"1";"H14"
"hole";"hole-4mm";"LOGIC-GND";"5";"H10, H13, H15, H17, H19"
"hole";"hole-4mm";"LOGIC-POWER";"1";"H9"
"hole";"hole-4mm";"PGND";"1";"H4"
"hole";"hole-4mm";"SORTIE ANALOGIQUE AMPLIFIÉE";"1";"H11"
"hole";"hole-4mm";"SORTIE ANALOGIQUE DIRECTE";"1";"H12"
"led";"round-led-3mm";"";"20";"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D21, D22, D23, D24, D25, D26, D27, D28, D29, D30"
"led";"round-led-3mm";"LED-0";"1";"D31"
"led";"round-led-3mm";"LED-1";"1";"D32"
"led";"round-led-3mm";"LED-2";"1";"D33"
"lm78xx";"to220";"7805";"1";"IC5"
"lm78xx";"to220";"7808";"1";"IC9"
"multiturn-cermet-trimmer";"43p";"10kΩ";"6";"T1, T22, T23, T24, T25, T26"
"nucleo-144";"nucleo-144";"";"1";"IC6"
"resistor";"mf12-rect";"1 kΩ";"3";"R52, R65, R66"
"resistor";"mf12-rect";"1kΩ";"9";"R46, R47, R48, R49, R50, R51, R53, R67, R68"
"resistor";"mf12-rect";"2,2kΩ";"10";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10"
"resistor";"mf12-rect";"4,7kΩ";"10";"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20"
"resistor";"mf12-rect";"10kΩ";"15";"R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R45, R58, R59, R60, R61"
"resistor";"mf12-rect";"10kΩ 1%";"1";"R64"
"resistor";"mf12-rect";"56Ω";"1";"R21"
"resistor";"mf12-rect";"330Ω";"12";"R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R44"
"resistor";"mf12-rect";"470Ω";"7";"R43, R54, R55, R56, R57, R62, R63"
"rotary-encoder-ec11";"square-encoder";"";"1";"SW1"
"sram-512k-8";"dil32w";"SRAM 512kio";"4";"IC2, IC3, IC7, IC8"
"sst26vf064b-sst26vf064ba";"dil08";"FLASH SPI";"2";"IC11, IC14"
"tact-4-pins";"tact-6x6-1";"P0";"1";"B1"
"tact-4-pins";"tact-6x6-1";"P1";"1";"B2"
"tact-4-pins";"tact-6x6-1";"P2";"1";"B3"
"tact-4-pins";"tact-6x6-1";"P3";"1";"B4"
"terminal-block-2-way-200mils";"terminal-block-2-200mils";"";"10";"K1, K2, K3, K4, K5, K6, K7, K8, K9, K10"
"tl072";"dil08";"TLE2022";"1";"IC10"
"tl074";"dil14";"LM324";"1";"IC15"
"unpolarized-capacitor";"metallized-polyester-capacitor-50";"100nF";"19";"C1, C2, C3, C5, C6, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21"
"unpolarized-capacitor";"metallized-polyester-capacitor-50";"330nF";"2";"C4, C7"
"xiamen-lcd-16-4-module";"xiamen-gmd1604b";"";"1";"LCD1"
